time,open,high,low,close,volume,exchange,pair
2024-11-27 03:41:00,0.9426,0.9442,0.9421,0.943,29051.58101774,Coinbase,ADA-USD
2024-11-27 03:40:00,0.9422,0.9429,0.9417,0.9429,23697.28039567,Coinbase,ADA-USD
2024-11-27 03:39:00,0.9425,0.9435,0.9421,0.9421,14290.20515103,Coinbase,ADA-USD
2024-11-27 03:38:00,0.9423,0.9425,0.9414,0.9423,4135.21223059,Coinbase,ADA-USD
2024-11-27 03:37:00,0.9434,0.9435,0.9396,0.9424,35908.5188312,Coinbase,ADA-USD
2024-11-27 03:36:00,0.9435,0.9448,0.943,0.9433,11440.5606663,Coinbase,ADA-USD
2024-11-27 03:35:00,0.9433,0.9446,0.9426,0.9432,56257.79957178,Coinbase,ADA-USD
2024-11-27 03:34:00,0.9423,0.9433,0.9416,0.9433,18873.4403944,Coinbase,ADA-USD
2024-11-27 03:33:00,0.9438,0.9439,0.9417,0.942,10153.36349501,Coinbase,ADA-USD
2024-11-27 03:32:00,0.9454,0.9454,0.943,0.9442,14202.61641511,Coinbase,ADA-USD
2024-11-27 03:31:00,0.9465,0.9465,0.9437,0.9453,12064.50321532,Coinbase,ADA-USD
2024-11-27 03:30:00,0.9465,0.9476,0.9456,0.9462,14774.56084731,Coinbase,ADA-USD
2024-11-27 03:29:00,0.9446,0.9464,0.9446,0.9464,21079.82559688,Coinbase,ADA-USD
2024-11-27 03:28:00,0.9439,0.9456,0.9438,0.9446,13574.46020093,Coinbase,ADA-USD
2024-11-27 03:27:00,0.945,0.9461,0.944,0.944,107402.84730302,Coinbase,ADA-USD
2024-11-27 03:26:00,0.9436,0.9449,0.9432,0.9447,16424.08390935,Coinbase,ADA-USD
2024-11-27 03:25:00,0.9426,0.9437,0.9421,0.9436,2580.21583491,Coinbase,ADA-USD
2024-11-27 03:24:00,0.9426,0.9444,0.9425,0.9425,8459.36327141,Coinbase,ADA-USD
2024-11-27 03:23:00,0.9415,0.9425,0.9414,0.9423,58823.12878357,Coinbase,ADA-USD
2024-11-27 03:22:00,0.9439,0.9439,0.9401,0.9414,97721.30463759,Coinbase,ADA-USD
2024-11-27 03:21:00,0.9457,0.947,0.944,0.9441,15711.31072977,Coinbase,ADA-USD
2024-11-27 03:20:00,0.9467,0.947,0.9455,0.946,6944.70659384,Coinbase,ADA-USD
2024-11-27 03:19:00,0.9464,0.9472,0.9455,0.9471,19855.37488735,Coinbase,ADA-USD
2024-11-27 03:18:00,0.9453,0.9469,0.9453,0.9463,12913.43735632,Coinbase,ADA-USD
2024-11-27 03:17:00,0.9453,0.9486,0.945,0.9451,10367.73627929,Coinbase,ADA-USD
2024-11-27 03:16:00,0.949,0.9504,0.945,0.9451,24593.7080651,Coinbase,ADA-USD
2024-11-27 03:15:00,0.9501,0.9516,0.9485,0.949,23826.90106704,Coinbase,ADA-USD
2024-11-27 03:14:00,0.9497,0.9502,0.9485,0.9496,6767.18930874,Coinbase,ADA-USD
2024-11-27 03:13:00,0.9484,0.9495,0.9483,0.9495,21351.81300678,Coinbase,ADA-USD
2024-11-27 03:12:00,0.9483,0.9496,0.9481,0.9491,8211.56581161,Coinbase,ADA-USD
2024-11-27 03:11:00,0.9492,0.9496,0.9479,0.9485,5425.37668007,Coinbase,ADA-USD
2024-11-27 03:10:00,0.9459,0.9495,0.9454,0.9495,4283.85626143,Coinbase,ADA-USD
2024-11-27 03:09:00,0.9465,0.9465,0.945,0.9458,3738.47288225,Coinbase,ADA-USD
2024-11-27 03:08:00,0.9476,0.9479,0.9459,0.9465,12366.59995938,Coinbase,ADA-USD
2024-11-27 03:07:00,0.9489,0.9489,0.9469,0.9476,16595.47421663,Coinbase,ADA-USD
2024-11-27 03:06:00,0.9481,0.9498,0.9471,0.9487,5998.87998444,Coinbase,ADA-USD
2024-11-27 03:05:00,0.9504,0.9507,0.9483,0.949,14023.44155249,Coinbase,ADA-USD
2024-11-27 03:04:00,0.9511,0.9516,0.9493,0.9502,7842.78883707,Coinbase,ADA-USD
2024-11-27 03:03:00,0.9488,0.951,0.9462,0.951,51526.82444223,Coinbase,ADA-USD
2024-11-27 03:02:00,0.9492,0.9503,0.9473,0.948,83130.26555001,Coinbase,ADA-USD
2024-11-27 03:01:00,0.9493,0.9501,0.9478,0.9486,23322.64146878,Coinbase,ADA-USD
2024-11-27 03:00:00,0.9497,0.9506,0.9493,0.9495,33387.35210951,Coinbase,ADA-USD
2024-11-27 02:59:00,0.9513,0.9513,0.9495,0.9506,24871.3424817,Coinbase,ADA-USD
2024-11-27 02:58:00,0.9504,0.9515,0.9503,0.9511,5080.23704568,Coinbase,ADA-USD
2024-11-27 02:57:00,0.9509,0.9521,0.9499,0.9505,44634.77694456,Coinbase,ADA-USD
2024-11-27 02:56:00,0.9515,0.9515,0.9499,0.9508,2838.28953299,Coinbase,ADA-USD
2024-11-27 02:55:00,0.9524,0.9533,0.951,0.9514,5919.06099531,Coinbase,ADA-USD
2024-11-27 02:54:00,0.9524,0.9531,0.9509,0.9524,116684.28063481,Coinbase,ADA-USD
2024-11-27 02:53:00,0.9527,0.9532,0.9519,0.9528,28874.66764934,Coinbase,ADA-USD
2024-11-27 02:52:00,0.9526,0.9539,0.9512,0.9539,28966.7924256,Coinbase,ADA-USD
2024-11-27 02:51:00,0.9519,0.9531,0.9518,0.9528,5190.60186908,Coinbase,ADA-USD
2024-11-27 02:50:00,0.9533,0.9534,0.951,0.951,11712.40666255,Coinbase,ADA-USD
