time,open,high,low,close,volume,exchange,pair
2024-11-27 03:50:00,616.671,616.671,616.671,616.671,0.1017,KuCoin,BNB-USDT
2024-11-27 03:49:00,616.494,616.494,616.494,616.494,0.4683,KuCoin,BNB-USDT
2024-11-27 03:48:00,616.327,616.327,616.327,616.327,0.5,KuCoin,BNB-USDT
2024-11-27 03:47:00,616.614,616.614,616.374,616.374,0.4742,KuCoin,BNB-USDT
2024-11-27 03:46:00,616.884,616.884,616.722,616.758,0.4076,KuCoin,BNB-USDT
2024-11-27 03:45:00,617.115,617.115,616.998,616.998,0.3465,KuCoin,BNB-USDT
2024-11-27 03:44:00,616.395,616.478,616.395,616.478,0.1072,KuCoin,BNB-USDT
2024-11-27 03:43:00,616.018,616.354,616.018,616.354,0.0038,KuCoin,BNB-USDT
2024-11-27 03:42:00,616.373,616.373,616.373,616.373,0.0515,KuCoin,BNB-USDT
2024-11-27 03:41:00,615.836,615.886,615.715,615.886,8.5505,KuCoin,BNB-USDT
2024-11-27 03:40:00,615.852,615.852,615.769,615.769,0.7777,KuCoin,BNB-USDT
2024-11-27 03:39:00,615.973,615.973,615.944,615.944,0.152,KuCoin,BNB-USDT
2024-11-27 03:38:00,615.855,615.855,615.851,615.851,0.2072,KuCoin,BNB-USDT
2024-11-27 03:37:00,615.765,615.986,615.765,615.986,1.8642,KuCoin,BNB-USDT
2024-11-27 03:36:00,616.066,616.066,615.793,615.793,0.5428,KuCoin,BNB-USDT
2024-11-27 03:35:00,616.136,616.136,616.136,616.136,0.217,KuCoin,BNB-USDT
2024-11-27 03:34:00,615.829,615.829,615.829,615.829,0.0017,KuCoin,BNB-USDT
2024-11-27 03:33:00,616.005,616.005,616.005,616.005,0,KuCoin,BNB-USDT
2024-11-27 03:32:00,616.005,616.005,616.005,616.005,0,KuCoin,BNB-USDT
2024-11-27 03:31:00,616.005,616.005,616.005,616.005,0,KuCoin,BNB-USDT
2024-11-27 03:30:00,615.606,616.005,615.606,616.005,0.1927,KuCoin,BNB-USDT
2024-11-27 03:29:00,615.758,615.762,615.758,615.762,2.6385,KuCoin,BNB-USDT
2024-11-27 03:28:00,615.632,615.709,615.408,615.46,1.9376,KuCoin,BNB-USDT
2024-11-27 03:27:00,615.789,615.789,615.789,615.789,0,KuCoin,BNB-USDT
2024-11-27 03:26:00,615.789,615.789,615.789,615.789,0.0046,KuCoin,BNB-USDT
2024-11-27 03:25:00,615.964,616.032,615.964,616.032,3.4547,KuCoin,BNB-USDT
2024-11-27 03:24:00,615.606,615.675,615.606,615.675,2.3059,KuCoin,BNB-USDT
2024-11-27 03:23:00,615.675,615.675,615.675,615.675,0.0081,KuCoin,BNB-USDT
2024-11-27 03:22:00,615.475,615.475,615.385,615.429,6.1769,KuCoin,BNB-USDT
2024-11-27 03:21:00,615.802,615.802,615.69,615.69,0.0508,KuCoin,BNB-USDT
2024-11-27 03:20:00,616.01,616.01,615.857,615.857,4.1745,KuCoin,BNB-USDT
2024-11-27 03:19:00,616.213,616.22,616.213,616.22,0.4328,KuCoin,BNB-USDT
2024-11-27 03:18:00,616.195,616.514,616.187,616.323,0.5518,KuCoin,BNB-USDT
2024-11-27 03:17:00,616.374,616.89,616.374,616.89,1.3098,KuCoin,BNB-USDT
2024-11-27 03:16:00,616.75,616.75,616.75,616.75,0.1184,KuCoin,BNB-USDT
2024-11-27 03:15:00,616.978,617.312,616.978,617.089,1.0478,KuCoin,BNB-USDT
2024-11-27 03:14:00,617.238,617.258,617.238,617.258,0.1565,KuCoin,BNB-USDT
2024-11-27 03:13:00,617.248,617.248,617.248,617.248,0.0014,KuCoin,BNB-USDT
2024-11-27 03:12:00,617.052,617.052,617.052,617.052,0.0488,KuCoin,BNB-USDT
2024-11-27 03:11:00,617.218,617.218,617.218,617.218,0.0093,KuCoin,BNB-USDT
2024-11-27 03:10:00,616.959,616.959,616.959,616.959,0,KuCoin,BNB-USDT
2024-11-27 03:09:00,616.799,617.02,616.799,616.959,0.5764,KuCoin,BNB-USDT
2024-11-27 03:08:00,617.305,617.305,616.778,616.778,0.8882,KuCoin,BNB-USDT
